p3_桃儲_last,p3_停泵日期_last,p3_取樣時間_last,p3_檢驗完成時間_last,p3_靜置H_last,p3_導電度_last,p3_溫度℃_last,p3_密度ｋｇ／ｍ３_last,p4_起泵時間_last,p4_停泵時間_last,p4_start_vol_last,p4_end_vol_last,p4_油溫℃_last,p4_管線壓力Kg/cm2_last,p4_管線溫度℃_last,p4_即時流速(KL/HR)_last,p4_input_管線壓力Kg/cm2_last,p4_input_管線溫度℃_last,p4_EC_end_last,p4_EC_mean_last,p4_EC_median_last,p4_EC_max_last,p4_EC_min_last,p2_起泵時間,p2_停泵時間,p2_油量增加比例,p2_start_vol,p2_end_vol,p2_壓力Kg/cm2,p2_管線溫度℃,p2_即時流速(KL/HR),p2_EC_mean,p2_EC_median,p2_EC_max,p2_EC_min,p3_停泵日期,p3_取樣時間,p3_檢驗完成時間,p3_靜置H,p3_導電度,p3_溫度℃,p3_密度ｋｇ／ｍ３,p4_起泵時間,p4_停泵時間,p4_start_vol,p4_end_vol,p4_油溫℃,p4_管線壓力Kg/cm2,p4_管線溫度℃,p4_即時流速(KL/HR),p4_input_管線壓力Kg/cm2,p4_input_管線溫度℃,p4_EC_end,p4_EC_mean,p4_EC_median,p4_EC_max,p4_EC_min
T-A402,2021-03-05 00:00:00,2021-03-07 00:30:00,2021-03-07 01:30:00,47.0,265.0,20.3,788.6,2021-03-07 18:14:51,2021-03-08 12:05:00,5795.219,1322.862,19.97777777777777,8.75311111111111,23.18055555555556,257.86,3.702222222222221,21.095833333333328,310.0,311.9,310.0,320.0,310.0,2021-03-09 20:50:00,2021-03-10 17:38:00,4.933438046255709,1347.812,6649.347,1.813304347826087,22.756521739130434,237.72165217391304,357.3,356.6,360.0,350.0,2021-03-10 00:00:00,2021-03-14 05:50:00,2021-03-14 07:00:00,83.0,220.0,21.0,787.4,2021-03-14 19:27:35,2021-03-15 15:12:00,6645.1,1635.529,20.47,8.90265,24.63625,261.0180000000001,3.7625,21.405,295.0,284.5,286.8,295.0,284.5
T-A403,2021-03-06 00:00:00,2021-03-08 03:00:00,2021-03-08 04:00:00,49.0,235.0,20.2,788.5,2021-03-09 19:43:08,2021-03-10 15:17:00,6628.276,1741.07,19.77142857142857,8.364571428571429,23.409523809523805,247.87285714285716,3.656190476190476,21.08571428571428,326.0,295.8,295.8,326.0,295.8,2021-03-11 22:17:00,2021-03-12 11:46:00,2.6412517740237145,1747.44,4615.429,3.1144000000000007,22.566666666666663,195.7783333333333,352.0,351.0,352.0,351.0,2021-03-13 00:00:00,2021-03-15 03:50:00,2021-03-15 04:30:00,50.0,280.0,21.2,787.4,2021-03-16 19:02:39,2021-03-17 15:03:00,6629.337,1554.224,21.265000000000008,8.37835,25.08625,252.2475000000001,3.1343640350877187,21.84749999999999,306.0,300.8,306.0,306.0,300.8
T-A403,2021-03-06 00:00:00,2021-03-08 03:00:00,2021-03-08 04:00:00,49.0,235.0,20.2,788.5,2021-03-09 19:43:08,2021-03-10 15:17:00,6628.276,1741.07,19.77142857142857,8.364571428571429,23.409523809523805,247.87285714285716,3.656190476190476,21.08571428571428,326.0,295.8,295.8,326.0,295.8,2021-03-12 17:16:00,2021-03-13 01:11:00,1.3997756245690884,4726.899,6616.598,1.686636363636364,22.82272727272727,206.88981818181816,345.0,345.0,345.0,345.0,2021-03-13 00:00:00,2021-03-15 03:50:00,2021-03-15 04:30:00,50.0,280.0,21.2,787.4,2021-03-16 19:02:39,2021-03-17 15:03:00,6629.337,1554.224,21.265000000000008,8.37835,25.08625,252.2475000000001,3.1343640350877187,21.84749999999999,306.0,300.8,306.0,306.0,300.8
T-A404,2021-03-07 00:00:00,2021-03-10 01:45:00,2021-03-10 02:45:00,64.0,260.0,19.8,788.6,2021-03-11 16:36:52,2021-03-12 11:46:00,6628.675,5136.998,19.700000000000003,9.062105263157894,23.532894736842103,262.6247368421053,3.82842105263158,21.228947368421046,315.0,310.5,314.0,320.0,310.5,2021-03-13 22:05:00,2021-03-14 17:59:00,3.756539722511146,1644.03,6175.864,2.3626818181818177,22.509090909090915,230.42818181818177,350.0,355.0,360.0,350.0,2021-03-14 00:00:00,2021-03-16 06:00:00,2021-03-16 07:00:00,36.0,280.0,21.5,787.4,2021-03-18 17:09:40,2021-03-19 11:57:00,6447.126,1706.139,20.95263157894737,8.297684210526317,24.855263157894736,251.37947368421047,3.4942105263157885,21.64342105263158,333.0,321.5,327.2,333.0,321.5
T-A401,2021-03-08 00:00:00,2021-03-12 02:00:00,2021-03-12 03:00:00,83.0,280.0,20.5,788.3,2021-03-13 14:59:04,2021-03-14 10:48:00,6587.525,1594.724,20.19473684210526,8.55678947368421,24.151315789473685,253.8047368421053,3.64578947368421,21.27631578947369,315.0,309.8,310.0,315.0,306.0,2021-03-14 22:43:00,2021-03-15 10:29:00,2.8547688774980005,1597.378,4560.145,2.317214285714286,22.746428571428574,235.4575,355.0,355.0,359.0,355.0,2021-03-16 00:00:00,2021-03-18 03:00:00,2021-03-18 04:00:00,43.0,265.0,21.2,787.4,2021-03-20 13:34:04,2021-03-21 08:52:00,6538.686,1603.748,20.08,8.42895,24.95125,255.0105,3.4724999999999997,21.757500000000007,311.0,313.8,311.0,313.8,311.0
T-A401,2021-03-08 00:00:00,2021-03-12 02:00:00,2021-03-12 03:00:00,83.0,280.0,20.5,788.3,2021-03-13 14:59:04,2021-03-14 10:48:00,6587.525,1594.724,20.19473684210526,8.55678947368421,24.151315789473685,253.8047368421053,3.64578947368421,21.27631578947369,315.0,309.8,310.0,315.0,306.0,2021-03-15 22:00:00,2021-03-16 06:07:00,1.4333951182620364,4575.01,6557.797,2.7065,22.9275,210.1519,353.7,353.7,353.7,353.7,2021-03-16 00:00:00,2021-03-18 03:00:00,2021-03-18 04:00:00,43.0,265.0,21.2,787.4,2021-03-20 13:34:04,2021-03-21 08:52:00,6538.686,1603.748,20.08,8.42895,24.95125,255.0105,3.4724999999999997,21.757500000000007,311.0,313.8,311.0,313.8,311.0
T-A402,2021-03-10 00:00:00,2021-03-14 05:50:00,2021-03-14 07:00:00,83.0,220.0,21.0,787.4,2021-03-14 19:27:35,2021-03-15 15:12:00,6645.1,1635.529,20.47,8.90265,24.63625,261.0180000000001,3.7625,21.405,295.0,284.5,286.8,295.0,284.5,2021-03-16 21:46:00,2021-03-17 17:34:00,3.6288395327605416,1641.899,5958.188,2.123590909090909,23.143181818181816,244.6586363636364,359.3,364.6,375.1,342.0,2021-03-17 00:00:00,2021-03-20 04:40:00,2021-03-20 05:40:00,61.0,295.0,21.4,787.1,2021-03-21 14:14:28,2021-03-22 10:01:00,6582.991,2462.053,20.95263157894737,8.516684210526314,23.882894736842104,254.57684210526315,3.571578947368421,21.532894736842103,270.0,294.6,300.8,352.5,270.0
T-A403,2021-03-13 00:00:00,2021-03-15 03:50:00,2021-03-15 04:30:00,50.0,280.0,21.2,787.4,2021-03-16 19:02:39,2021-03-17 15:03:00,6629.337,1554.224,21.265000000000008,8.37835,25.08625,252.2475000000001,3.1343640350877187,21.84749999999999,306.0,300.8,306.0,306.0,300.8,2021-03-19 13:37:00,2021-03-20 03:59:00,2.200813236912697,3002.815,6608.635,2.810375,23.029687500000005,237.92243750000003,346.0,342.0,346.0,342.0,2021-03-20 00:00:00,2021-03-22 00:45:00,2021-03-22 01:45:00,45.0,287.0,20.7,787.1,2021-03-23 18:50:04,2021-03-24 15:06:00,6602.797,1600.935,19.391666666666676,8.6565,22.65625,256.7625,3.571666666666666,21.23125,270.0,279.2,274.6,279.2,270.0
T-A404,2021-03-14 00:00:00,2021-03-16 06:00:00,2021-03-16 07:00:00,36.0,280.0,21.5,787.4,2021-03-18 17:09:40,2021-03-19 11:57:00,6447.126,1706.139,20.95263157894737,8.297684210526317,24.855263157894736,251.37947368421047,3.4942105263157885,21.64342105263158,333.0,321.5,327.2,333.0,321.5,2021-03-21 18:19:00,2021-03-22 07:00:00,2.9192275585199665,1675.881,4892.278,2.3800625,21.79375,202.2124375,339.8,355.0,361.0,307.0,2021-03-22 00:00:00,2021-03-24 04:30:00,2021-03-24 05:30:00,38.0,300.0,19.6,787.1,2021-03-25 19:02:41,2021-03-26 14:22:00,6655.218,1657.832,19.073684210526316,9.003631578947369,22.871052631578944,262.0515789473684,3.807368421052632,21.41842105263158,347.5,343.1,347.5,347.5,343.1
T-A404,2021-03-14 00:00:00,2021-03-16 06:00:00,2021-03-16 07:00:00,36.0,280.0,21.5,787.4,2021-03-18 17:09:40,2021-03-19 11:57:00,6447.126,1706.139,20.95263157894737,8.297684210526317,24.855263157894736,251.37947368421047,3.4942105263157885,21.64342105263158,333.0,321.5,327.2,333.0,321.5,2021-03-22 14:25:00,2021-03-23 02:23:00,1.3880349742867375,4800.441,6663.18,2.148357142857143,22.157142857142865,238.771,350.2,350.0,352.0,347.0,2021-03-28 00:00:00,2021-03-31 03:30:00,2021-03-31 04:30:00,58.0,320.0,22.5,787.3,2021-04-01 18:18:22,2021-04-02 12:55:00,6645.663,1745.953,22.746666666666663,8.901866666666667,26.631666666666664,266.97,3.552,22.030000000000005,330.0,323.8,323.8,330.0,323.8
T-A401,2021-03-16 00:00:00,2021-03-18 03:00:00,2021-03-18 04:00:00,43.0,265.0,21.2,787.4,2021-03-20 13:34:04,2021-03-21 08:52:00,6538.686,1603.748,20.08,8.42895,24.95125,255.0105,3.4724999999999997,21.757500000000007,311.0,313.8,311.0,313.8,311.0,2021-03-23 02:24:00,2021-03-23 18:47:00,2.2799781407492867,2882.075,6571.068,1.890555555555556,22.94861111111111,220.9126111111111,352.6,352.6,368.0,340.0,2021-03-23 00:00:00,2021-03-25 04:30:00,2021-03-25 05:30:00,35.0,274.0,20.0,787.1,2021-03-27 15:23:00,2021-03-28 11:04:00,6555.142,1630.823,20.935,8.401549999999999,24.347500000000004,250.18649999999997,3.6155,21.4575,345.0,345.8,345.4,352.5,345.0
T-A401,2021-03-16 00:00:00,2021-03-18 03:00:00,2021-03-18 04:00:00,43.0,265.0,21.2,787.4,2021-03-20 13:34:04,2021-03-21 08:52:00,6538.686,1603.748,20.08,8.42895,24.95125,255.0105,3.4724999999999997,21.757500000000007,311.0,313.8,311.0,313.8,311.0,2021-03-23 23:19:00,2021-03-24 19:20:00,0.9991919991939778,6570.538,6565.229,2.066769230769231,22.75961538461538,206.48776923076923,352.7,351.4,370.0,330.0,2021-04-01 00:00:00,2021-04-01 04:30:00,2021-04-01 05:30:00,58.0,360.0,20.0,787.3,2021-04-03 14:37:04,2021-04-04 10:39:00,6602.92,1644.094,23.365,8.2978,27.222500000000004,252.792,3.446,22.200000000000003,307.0,326.3,330.0,342.0,307.0
T-A403,2021-03-20 00:00:00,2021-03-22 00:45:00,2021-03-22 01:45:00,45.0,287.0,20.7,787.1,2021-03-23 18:50:04,2021-03-24 15:06:00,6602.797,1600.935,19.391666666666676,8.6565,22.65625,256.7625,3.571666666666666,21.23125,270.0,279.2,274.6,279.2,270.0,2021-03-25 21:12:00,2021-03-26 11:03:00,2.415069824428807,1606.243,3879.189,3.20025,22.242187500000004,204.0454375,363.7,360.0,363.7,360.0,2021-03-26 00:00:00,2021-03-29 04:00:00,2021-03-29 05:00:00,54.0,320.0,21.9,787.3,2021-03-30 14:26:26,2021-03-31 09:28:00,6605.981,1643.4,22.210000000000004,8.8128,26.075,262.29599999999994,3.6325,21.735000000000007,320.0,324.0,320.0,324.0,320.0
T-A403,2021-03-20 00:00:00,2021-03-22 00:45:00,2021-03-22 01:45:00,45.0,287.0,20.7,787.1,2021-03-23 18:50:04,2021-03-24 15:06:00,6602.797,1600.935,19.391666666666676,8.6565,22.65625,256.7625,3.571666666666666,21.23125,270.0,279.2,274.6,279.2,270.0,2021-03-26 11:04:00,2021-03-26 13:27:00,1.1378605250721487,3885.028,4420.62,1.91925,23.15625,209.872,370.0,370.0,370.0,370.0,2021-03-26 00:00:00,2021-03-29 04:00:00,2021-03-29 05:00:00,54.0,320.0,21.9,787.3,2021-03-30 14:26:26,2021-03-31 09:28:00,6605.981,1643.4,22.210000000000004,8.8128,26.075,262.29599999999994,3.6325,21.735000000000007,320.0,324.0,320.0,324.0,320.0
T-A403,2021-03-20 00:00:00,2021-03-22 00:45:00,2021-03-22 01:45:00,45.0,287.0,20.7,787.1,2021-03-23 18:50:04,2021-03-24 15:06:00,6602.797,1600.935,19.391666666666676,8.6565,22.65625,256.7625,3.571666666666666,21.23125,270.0,279.2,274.6,279.2,270.0,2021-03-26 13:27:00,2021-03-26 23:13:00,1.4970058421162116,4432.298,6635.176,2.9793333333333334,23.041666666666668,210.27816666666664,355.5,355.8,355.8,355.5,2021-03-26 00:00:00,2021-03-29 04:00:00,2021-03-29 05:00:00,54.0,320.0,21.9,787.3,2021-03-30 14:26:26,2021-03-31 09:28:00,6605.981,1643.4,22.210000000000004,8.8128,26.075,262.29599999999994,3.6325,21.735000000000007,320.0,324.0,320.0,324.0,320.0
T-A404,2021-03-22 00:00:00,2021-03-24 04:30:00,2021-03-24 05:30:00,38.0,300.0,19.6,787.1,2021-03-25 19:02:41,2021-03-26 14:22:00,6655.218,1657.832,19.073684210526316,9.003631578947369,22.871052631578944,262.0515789473684,3.807368421052632,21.41842105263158,347.5,343.1,347.5,347.5,343.1,2021-03-27 21:00:00,2021-03-28 17:23:00,4.157422086640332,1598.378,6645.132,1.9980434782608696,23.38369565217391,233.5702173913044,362.2,358.6,362.2,351.0,2021-03-28 00:00:00,2021-03-31 03:30:00,2021-03-31 04:30:00,58.0,320.0,22.5,787.3,2021-04-01 18:18:22,2021-04-02 12:55:00,6645.663,1745.953,22.746666666666663,8.901866666666667,26.631666666666664,266.97,3.552,22.030000000000005,330.0,323.8,323.8,330.0,323.8
T-A401,2021-03-23 00:00:00,2021-03-25 04:30:00,2021-03-25 05:30:00,35.0,274.0,20.0,787.1,2021-03-27 15:23:00,2021-03-28 11:04:00,6555.142,1630.823,20.935,8.401549999999999,24.347500000000004,250.18649999999997,3.6155,21.4575,345.0,345.8,345.4,352.5,345.0,2021-03-28 21:55:00,2021-03-29 15:49:00,3.750000306195061,1632.946,6123.548,2.0709000000000004,23.16875,238.11535,353.5,353.8,354.0,353.5,2021-04-01 00:00:00,2021-04-01 04:30:00,2021-04-01 05:30:00,58.0,360.0,20.0,787.3,2021-04-03 14:37:04,2021-04-04 10:39:00,6602.92,1644.094,23.365,8.2978,27.222500000000004,252.792,3.446,22.200000000000003,307.0,326.3,330.0,342.0,307.0
T-A401,2021-03-23 00:00:00,2021-03-25 04:30:00,2021-03-25 05:30:00,35.0,274.0,20.0,787.1,2021-03-27 15:23:00,2021-03-28 11:04:00,6555.142,1630.823,20.935,8.401549999999999,24.347500000000004,250.18649999999997,3.6155,21.4575,345.0,345.8,345.4,352.5,345.0,2021-03-29 16:51:00,2021-03-29 17:52:00,1.0380430301176402,6391.105,6634.242,2.1876666666666664,23.258333333333336,251.251,358.0,358.0,358.0,358.0,2021-04-01 00:00:00,2021-04-01 04:30:00,2021-04-01 05:30:00,58.0,360.0,20.0,787.3,2021-04-03 14:37:04,2021-04-04 10:39:00,6602.92,1644.094,23.365,8.2978,27.222500000000004,252.792,3.446,22.200000000000003,307.0,326.3,330.0,342.0,307.0
T-A402,2021-03-24 00:00:00,2021-03-28 03:10:00,2021-03-28 04:10:00,80.0,320.0,21.4,787.3,2021-03-28 20:36:56,2021-03-29 15:47:00,6647.754,1668.972,21.699999999999992,8.874578947368422,25.073684210526316,260.75842105263166,3.763684210526316,21.51315789473684,320.0,321.2,320.0,321.2,320.0,2021-03-30 19:19:00,2021-03-31 09:28:00,3.12273995519044,1673.75,5226.686,2.1823125,23.36875,233.54525,314.2,308.1,314.2,302.0,2021-04-03 00:00:00,2021-04-03 03:10:00,2021-04-03 04:10:00,53.0,296.0,21.4,787.3,2021-04-04 20:28:57,2021-04-05 15:53:00,6647.223,1493.263,22.205263157894745,8.919368421052631,26.164473684210527,263.57210526315794,3.666315789473684,22.227631578947364,284.0,298.5,290.5,298.5,284.0
T-A402,2021-03-24 00:00:00,2021-03-28 03:10:00,2021-03-28 04:10:00,80.0,320.0,21.4,787.3,2021-03-28 20:36:56,2021-03-29 15:47:00,6647.754,1668.972,21.699999999999992,8.874578947368422,25.073684210526316,260.75842105263166,3.763684210526316,21.51315789473684,320.0,321.2,320.0,321.2,320.0,2021-03-31 17:07:00,2021-03-31 22:38:00,1.2673227552663389,5232.525,6631.298,2.731625,23.440625,207.74,298.0,298.0,298.0,298.0,2021-04-03 00:00:00,2021-04-03 03:10:00,2021-04-03 04:10:00,53.0,296.0,21.4,787.3,2021-04-04 20:28:57,2021-04-05 15:53:00,6647.223,1493.263,22.205263157894745,8.919368421052631,26.164473684210527,263.57210526315794,3.666315789473684,22.227631578947364,284.0,298.5,290.5,298.5,284.0
T-A403,2021-03-26 00:00:00,2021-03-29 04:00:00,2021-03-29 05:00:00,54.0,320.0,21.9,787.3,2021-03-30 14:26:26,2021-03-31 09:28:00,6605.981,1643.4,22.210000000000004,8.8128,26.075,262.29599999999994,3.6325,21.735000000000007,320.0,324.0,320.0,324.0,320.0,2021-04-01 20:18:00,2021-04-02 13:03:00,3.602941221739208,1624.291,5852.225,1.8628125,23.540625,228.53675,305.2,305.2,314.0,305.2,2021-04-05 00:00:00,2021-04-05 02:00:00,2021-04-05 03:00:00,32.0,232.0,22.8,787.3,2021-04-07 19:54:00,2021-04-08 22:04:00,6638.361,3645.101,22.05,8.776416666666668,25.76458333333333,259.38,3.710833333333333,22.43125,250.0,253.0,251.5,253.0,250.0
T-A403,2021-03-26 00:00:00,2021-03-29 04:00:00,2021-03-29 05:00:00,54.0,320.0,21.9,787.3,2021-03-30 14:26:26,2021-03-31 09:28:00,6605.981,1643.4,22.210000000000004,8.8128,26.075,262.29599999999994,3.6325,21.735000000000007,320.0,324.0,320.0,324.0,320.0,2021-04-03 14:47:00,2021-04-03 18:00:00,1.1353582200417809,5854.879,6647.385,2.800166666666667,24.620833333333334,210.865,310.0,310.0,310.0,310.0,2021-04-05 00:00:00,2021-04-05 02:00:00,2021-04-05 03:00:00,32.0,232.0,22.8,787.3,2021-04-07 19:54:00,2021-04-08 22:04:00,6638.361,3645.101,22.05,8.776416666666668,25.76458333333333,259.38,3.710833333333333,22.43125,250.0,253.0,251.5,253.0,250.0
T-A404,2021-03-28 00:00:00,2021-03-31 03:30:00,2021-03-31 04:30:00,58.0,320.0,22.5,787.3,2021-04-01 18:18:22,2021-04-02 12:55:00,6645.663,1745.953,22.746666666666663,8.901866666666667,26.631666666666664,266.97,3.552,22.030000000000005,330.0,323.8,323.8,330.0,323.8,2021-04-03 18:00:00,2021-04-04 13:13:00,3.731401070048437,1776.742,6629.737,1.7841904761904763,23.4047619047619,255.1188571428572,302.6,301.0,302.6,300.0,2021-04-04 00:00:00,2021-04-07 02:30:00,2021-04-07 03:30:00,61.0,230.0,21.7,787.3,2021-04-08 22:16:19,2021-04-09 16:56:00,6635.045,1805.408,21.122222222222216,8.816222222222223,24.80138888888889,259.4599999999999,3.723888888888889,22.17083333333333,268.0,268.8,268.0,268.8,268.0
T-A401,2021-04-01 00:00:00,2021-04-01 04:30:00,2021-04-01 05:30:00,58.0,360.0,20.0,787.3,2021-04-03 14:37:04,2021-04-04 10:39:00,6602.92,1644.094,23.365,8.2978,27.222500000000004,252.792,3.446,22.200000000000003,307.0,326.3,330.0,342.0,307.0,2021-04-04 22:01:00,2021-04-05 17:48:00,3.7307945580299458,1644.625,6135.758,2.0558181818181818,23.17159090909091,236.40927272727276,296.6,298.0,310.0,294.0,2021-04-05 00:00:00,2021-04-08 03:30:00,2021-04-08 04:30:00,59.0,220.0,22.1,787.3,2021-04-09 19:55:40,2021-04-10 15:29:00,6607.698,6607.698,21.39999999999999,8.440142857142856,24.427380952380958,253.58142857142855,3.5257142857142854,21.97142857142857,250.0,257.8,253.9,257.8,250.0
T-A402,2021-04-03 00:00:00,2021-04-03 03:10:00,2021-04-03 04:10:00,53.0,296.0,21.4,787.3,2021-04-04 20:28:57,2021-04-05 15:53:00,6647.223,1493.263,22.205263157894745,8.919368421052631,26.164473684210527,263.57210526315794,3.666315789473684,22.227631578947364,284.0,298.5,290.5,298.5,284.0,2021-04-07 21:24:00,2021-04-08 07:19:00,2.7455765953042004,1410.452,3872.504,1.9575,23.462499999999995,222.67241666666663,292.0,294.0,294.0,292.0,2021-04-09 00:00:00,2021-04-10 03:20:00,2021-04-10 04:30:00,24.0,240.0,21.9,787.3,2021-04-10 18:30:04,2021-04-11 14:10:00,6437.009,1370.107,20.92631578947369,8.831157894736842,25.032894736842103,257.7078947368421,3.793684210526315,22.196052631578944,289.0,283.8,286.4,290.0,283.8
T-A402,2021-04-03 00:00:00,2021-04-03 03:10:00,2021-04-03 04:10:00,53.0,296.0,21.4,787.3,2021-04-04 20:28:57,2021-04-05 15:53:00,6647.223,1493.263,22.205263157894745,8.919368421052631,26.164473684210527,263.57210526315794,3.666315789473684,22.227631578947364,284.0,298.5,290.5,298.5,284.0,2021-04-08 20:43:00,2021-04-09 07:02:00,1.663286232892379,3873.566,6442.849,2.248307692307692,22.81923076923077,226.92561538461536,298.8,300.4,318.0,298.8,2021-04-09 00:00:00,2021-04-10 03:20:00,2021-04-10 04:30:00,24.0,240.0,21.9,787.3,2021-04-10 18:30:04,2021-04-11 14:10:00,6437.009,1370.107,20.92631578947369,8.831157894736842,25.032894736842103,257.7078947368421,3.793684210526315,22.196052631578944,289.0,283.8,286.4,290.0,283.8
T-A403,2021-04-05 00:00:00,2021-04-05 02:00:00,2021-04-05 03:00:00,32.0,232.0,22.8,787.3,2021-04-07 19:54:00,2021-04-08 22:04:00,6638.361,3645.101,22.05,8.776416666666668,25.76458333333333,259.38,3.710833333333333,22.43125,250.0,253.0,251.5,253.0,250.0,2021-04-09 07:03:00,2021-04-09 10:29:00,1.3852279253515998,2199.163,3046.342,3.2402,23.434999999999995,203.1846,307.0,307.0,307.0,307.0,2021-04-10 00:00:00,2021-04-11 14:30:00,2021-04-11 15:30:00,28.0,280.0,22.0,787.3,2021-04-14 16:42:53,2021-04-15 13:27:00,6510.435,1434.79,22.057142857142853,8.587857142857143,25.644642857142856,261.225,3.422142857142858,22.44642857142857,298.0,294.8,298.0,298.0,294.8
T-A403,2021-04-05 00:00:00,2021-04-05 02:00:00,2021-04-05 03:00:00,32.0,232.0,22.8,787.3,2021-04-07 19:54:00,2021-04-08 22:04:00,6638.361,3645.101,22.05,8.776416666666668,25.76458333333333,259.38,3.710833333333333,22.43125,250.0,253.0,251.5,253.0,250.0,2021-04-09 19:03:00,2021-04-10 09:16:00,2.153526658760633,3070.229,6611.82,1.9190625,23.4171875,249.34443750000003,300.5,297.8,300.5,295.0,2021-04-10 00:00:00,2021-04-11 14:30:00,2021-04-11 15:30:00,28.0,280.0,22.0,787.3,2021-04-14 16:42:53,2021-04-15 13:27:00,6510.435,1434.79,22.057142857142853,8.587857142857143,25.644642857142856,261.225,3.422142857142858,22.44642857142857,298.0,294.8,298.0,298.0,294.8
T-A404,2021-04-04 00:00:00,2021-04-07 02:30:00,2021-04-07 03:30:00,61.0,230.0,21.7,787.3,2021-04-08 22:16:19,2021-04-09 16:56:00,6635.045,1805.408,21.122222222222216,8.816222222222223,24.80138888888889,259.4599999999999,3.723888888888889,22.17083333333333,268.0,268.8,268.0,268.8,268.0,2021-04-10 09:17:00,2021-04-11 04:33:00,3.620979284369115,1831.95,6633.453,2.490095238095238,23.696428571428573,240.29657142857144,302.8,303.9,310.0,298.0,2021-04-11 00:00:00,2021-04-13 02:35:00,2021-04-13 03:35:00,46.0,252.0,22.6,787.3,2021-04-15 15:16:21,2021-04-15 13:27:00,6510.435,1434.79,22.057142857142853,8.587857142857143,25.644642857142856,261.225,3.422142857142858,22.44642857142857,292.0,283.2,287.6,292.0,283.2
T-A401,2021-04-05 00:00:00,2021-04-08 03:30:00,2021-04-08 04:30:00,59.0,220.0,22.1,787.3,2021-04-09 19:55:40,2021-04-10 15:29:00,6607.698,6607.698,21.39999999999999,8.440142857142856,24.427380952380958,253.58142857142855,3.5257142857142854,21.97142857142857,250.0,257.8,253.9,257.8,250.0,2021-04-11 06:03:00,2021-04-11 19:16:00,1.0,6607.698,6607.698,2.206500000000001,23.89375,220.3126875,300.0,300.0,305.0,300.0,2021-04-12 00:00:00,2021-04-16 04:10:00,2021-04-16 05:00:00,91.625,225.0,22.4,787.3,2021-04-20 11:31:04,2021-04-20 11:56:00,1478.995,1377.068,26.3,9.238,26.625,257.4,4.065000000000001,22.725,242.0,240.0,241.0,242.0,240.0
T-A401,2021-04-05 00:00:00,2021-04-08 03:30:00,2021-04-08 04:30:00,59.0,220.0,22.1,787.3,2021-04-09 19:55:40,2021-04-10 15:29:00,6607.698,6607.698,21.39999999999999,8.440142857142856,24.427380952380958,253.58142857142855,3.5257142857142854,21.97142857142857,250.0,257.8,253.9,257.8,250.0,2021-04-11 20:03:00,2021-04-12 03:05:00,1.0,6607.698,6607.698,3.067727272727273,23.8975,191.6511,298.0,298.0,298.0,298.0,2021-04-12 00:00:00,2021-04-16 04:10:00,2021-04-16 05:00:00,91.625,225.0,22.4,787.3,2021-04-20 11:31:04,2021-04-20 11:56:00,1478.995,1377.068,26.3,9.238,26.625,257.4,4.065000000000001,22.725,242.0,240.0,241.0,242.0,240.0
T-A402,2021-04-09 00:00:00,2021-04-10 03:20:00,2021-04-10 04:30:00,24.0,240.0,21.9,787.3,2021-04-10 18:30:04,2021-04-11 14:10:00,6437.009,1370.107,20.92631578947369,8.831157894736842,25.032894736842103,257.7078947368421,3.793684210526315,22.196052631578944,289.0,283.8,286.4,290.0,283.8,2021-04-20 11:31:00,2021-04-20 18:12:00,1.2973966930123797,4914.019,6375.432,1.968444444444444,24.08055555555556,221.74988888888888,289.4,303.0,303.0,289.4,2021-04-20 00:00:00,2021-04-21 18:40:00,2021-04-21 19:20:00,24.0,305.0,23.6,787.3,2021-04-21 19:57:19,2021-04-22 12:07:00,6376.493,2258.74,23.600000000000005,8.682066666666666,27.146666666666658,254.928,3.81,22.92,312.0,308.5,310.2,312.0,308.5
T-A403,2021-04-10 00:00:00,2021-04-11 14:30:00,2021-04-11 15:30:00,28.0,280.0,22.0,787.3,2021-04-14 16:42:53,2021-04-15 13:27:00,6510.435,1434.79,22.057142857142853,8.587857142857143,25.644642857142856,261.225,3.422142857142858,22.44642857142857,298.0,294.8,298.0,298.0,294.8,2021-04-20 18:12:00,2021-04-21 07:09:00,2.9934813850811914,1466.109,4388.77,1.7218666666666669,23.89833333333333,225.17533333333333,298.0,301.0,301.0,298.0,2021-04-21 00:00:00,2021-04-22 18:00:00,2021-04-22 19:00:00,26.0,275.0,24.1,787.3,2021-04-23 00:41:13,2021-04-23 14:13:00,5096.346,1691.174,24.007142857142856,8.988642857142857,27.678571428571423,259.1742857142857,3.9492857142857134,22.928571428571427,304.0,297.4,304.0,305.0,297.4
T-A403,2021-04-10 00:00:00,2021-04-11 14:30:00,2021-04-11 15:30:00,28.0,280.0,22.0,787.3,2021-04-14 16:42:53,2021-04-15 13:27:00,6510.435,1434.79,22.057142857142853,8.587857142857143,25.644642857142856,261.225,3.422142857142858,22.44642857142857,298.0,294.8,298.0,298.0,294.8,2021-04-21 07:11:00,2021-04-21 16:14:00,1.491437145107669,4401.511,6564.577,2.265,24.21818181818181,240.0027272727273,307.7,307.7,307.7,307.7,2021-04-21 00:00:00,2021-04-22 18:00:00,2021-04-22 19:00:00,26.0,275.0,24.1,787.3,2021-04-23 00:41:13,2021-04-23 14:13:00,5096.346,1691.174,24.007142857142856,8.988642857142857,27.678571428571423,259.1742857142857,3.9492857142857134,22.928571428571427,304.0,297.4,304.0,305.0,297.4
